scenario_id,estimator,scope,estimator_no_result,background_session_id,seed,truth_rate_hz_s,truth_acceleration_hz_s2,truth_jerk_hz_s3,snr_db,frame_occupancy,alias_change_hz,cfo_step_hz,sample_clock_offset_ppm,receiver_count,receiver_bias,receiver_mse,receiver_rmse,receiver_median_absolute_error,receiver_failure_rate,receiver_coverage_95,physical_count,physical_bias,physical_mse,physical_rmse,physical_median_absolute_error,physical_failure_rate,physical_coverage_95
P001,causal_20ms_linear,all_complete,True,cap-20260825T062228-886fe2dd9cde,913000,-6000.0,-800.0,-300.0,-32.0,0.35,0.0,0.0,-25.0,0,,,,,,,0,,,,,,
P001,causal_20ms_linear,no_step,True,cap-20260825T062228-886fe2dd9cde,913000,-6000.0,-800.0,-300.0,-32.0,0.35,0.0,0.0,-25.0,0,,,,,,,0,,,,,,
P001,fixed_125ms_linear,all_complete,True,cap-20260825T062228-886fe2dd9cde,913000,-6000.0,-800.0,-300.0,-32.0,0.35,0.0,0.0,-25.0,0,,,,,,,0,,,,,,
P001,fixed_125ms_linear,no_step,True,cap-20260825T062228-886fe2dd9cde,913000,-6000.0,-800.0,-300.0,-32.0,0.35,0.0,0.0,-25.0,0,,,,,,,0,,,,,,
P001,fixed_500ms_linear,all_complete,True,cap-20260825T062228-886fe2dd9cde,913000,-6000.0,-800.0,-300.0,-32.0,0.35,0.0,0.0,-25.0,0,,,,,,,0,,,,,,
P001,fixed_500ms_linear,no_step,True,cap-20260825T062228-886fe2dd9cde,913000,-6000.0,-800.0,-300.0,-32.0,0.35,0.0,0.0,-25.0,0,,,,,,,0,,,,,,
P002,causal_20ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913001,6000.0,0.0,-300.0,-32.0,0.65,-750.0,0.0,-25.0,0,,,,,,,0,,,,,,
P002,causal_20ms_linear,no_step,True,cap-20260825T105640-facdadeffb3b,913001,6000.0,0.0,-300.0,-32.0,0.65,-750.0,0.0,-25.0,0,,,,,,,0,,,,,,
P002,fixed_125ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913001,6000.0,0.0,-300.0,-32.0,0.65,-750.0,0.0,-25.0,0,,,,,,,0,,,,,,
P002,fixed_125ms_linear,no_step,True,cap-20260825T105640-facdadeffb3b,913001,6000.0,0.0,-300.0,-32.0,0.65,-750.0,0.0,-25.0,0,,,,,,,0,,,,,,
P002,fixed_500ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913001,6000.0,0.0,-300.0,-32.0,0.65,-750.0,0.0,-25.0,0,,,,,,,0,,,,,,
P002,fixed_500ms_linear,no_step,True,cap-20260825T105640-facdadeffb3b,913001,6000.0,0.0,-300.0,-32.0,0.65,-750.0,0.0,-25.0,0,,,,,,,0,,,,,,
P003,causal_20ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,causal_20ms_linear,post_history,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,causal_20ms_linear,pre_step,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,causal_20ms_linear,transition,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,fixed_125ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,fixed_125ms_linear,post_history,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,fixed_125ms_linear,pre_step,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,fixed_125ms_linear,transition,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,fixed_500ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,fixed_500ms_linear,post_history,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,fixed_500ms_linear,pre_step,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P003,fixed_500ms_linear,transition,True,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,causal_20ms_linear,all_complete,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,causal_20ms_linear,post_history,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,causal_20ms_linear,pre_step,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,causal_20ms_linear,transition,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,fixed_125ms_linear,all_complete,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,fixed_125ms_linear,post_history,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,fixed_125ms_linear,pre_step,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,fixed_125ms_linear,transition,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,fixed_500ms_linear,all_complete,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,fixed_500ms_linear,post_history,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,fixed_500ms_linear,pre_step,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P004,fixed_500ms_linear,transition,True,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P005,causal_20ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,causal_20ms_linear,post_history,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,causal_20ms_linear,pre_step,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,causal_20ms_linear,transition,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,fixed_125ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,fixed_125ms_linear,post_history,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,fixed_125ms_linear,pre_step,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,fixed_125ms_linear,transition,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,fixed_500ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,fixed_500ms_linear,post_history,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,fixed_500ms_linear,pre_step,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P005,fixed_500ms_linear,transition,True,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,causal_20ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,causal_20ms_linear,post_history,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,causal_20ms_linear,pre_step,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,causal_20ms_linear,transition,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,fixed_125ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,fixed_125ms_linear,post_history,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,fixed_125ms_linear,pre_step,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,fixed_125ms_linear,transition,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,fixed_500ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,fixed_500ms_linear,post_history,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,fixed_500ms_linear,pre_step,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P006,fixed_500ms_linear,transition,True,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,0,,,,,,,0,,,,,,
P007,causal_20ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,causal_20ms_linear,post_history,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,causal_20ms_linear,pre_step,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,causal_20ms_linear,transition,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,fixed_125ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,fixed_125ms_linear,post_history,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,fixed_125ms_linear,pre_step,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,fixed_125ms_linear,transition,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,fixed_500ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,fixed_500ms_linear,post_history,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,fixed_500ms_linear,pre_step,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P007,fixed_500ms_linear,transition,True,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,0,,,,,,,0,,,,,,
P008,causal_20ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0,0,,,,,,,0,,,,,,
P008,causal_20ms_linear,no_step,True,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0,0,,,,,,,0,,,,,,
P008,fixed_125ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0,0,,,,,,,0,,,,,,
P008,fixed_125ms_linear,no_step,True,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0,0,,,,,,,0,,,,,,
P008,fixed_500ms_linear,all_complete,False,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0,3,-122.81897778161176,24967.166186176986,158.01001925883367,70.54383174059967,0.0,1.0,3,-122.81897778161176,24967.166186176986,158.01001925883367,70.54383174059967,0.0,1.0
